"ordering_code";"ordering_date";"ordering_term"
1;"2022-01-13";"2022-04-02"
2;"2021-12-13";"2022-01-10"
3;"2022-03-30";"2022-09-14"
4;"2022-03-07";"2022-05-29"
5;"2022-06-23";"2023-06-14"
6;"2023-01-10";"2023-08-12"
7;"2022-06-12";"2023-12-17"
8;"2022-05-15";"2023-12-22"
9;"2022-10-22";"2023-08-08"
10;"2022-03-25";"2022-06-11"
11;"2022-01-31";"2023-08-11"
12;"2022-06-20";"2023-11-08"
13;"2022-10-14";"2023-07-27"
14;"2022-03-03";"2022-06-16"
15;"2022-08-23";"2023-09-13"
16;"2022-10-10";"2023-04-16"
17;"2022-01-27";"2022-05-26"
18;"2022-03-22";"2023-01-06"
19;"2022-08-25";"2023-06-12"
20;"2023-06-16";"2023-10-17"
